,Site,Col_company,Col_Recruit,Col_detail,Col_url
0,JobKorea,더치트주식회사,데이터 애널리스트 /데이터분석전문가 / 통계 전문가 / Data Analyst (통,경력무관대졸↑정규직 외서울 구로구D-22,https://www.jobkorea.co.kr/virtual/Recruit/GI_Read/46668510?Oem_Code=C1&logpath=1&stext=데이터분석&listno=1
1,JobKorea,넛지헬스케어㈜,[캐시워크-병역특례]데이터분석담당 산업기능요원,경력무관학력무관병역특례서울 강남구D-5,https://www.jobkorea.co.kr/virtual/Recruit/GI_Read/46570518?Oem_Code=C1&logpath=1&stext=데이터분석&listno=2
2,JobKorea,㈜메디젠휴먼케어,메디젠휴먼케어데이터분석담당 경력직 채용,경력3년↑석사↑정규직서울 송파구D-39,https://www.jobkorea.co.kr/virtual/Recruit/GI_Read/46590042?Oem_Code=C1&logpath=1&stext=데이터분석&listno=3
3,JobKorea,넛지헬스케어㈜,[캐시워크]데이터분석담당 채용전환형 인턴,신입대졸↑인턴서울 강남구D-8,https://www.jobkorea.co.kr/virtual/Recruit/GI_Read/46586706?Oem_Code=C1&logpath=1&stext=데이터분석&listno=4
4,JobKorea,연이,데이터분석준전문가 자격증 온라인 강의 교사 채용,경력2년↑학력무관프리랜서서울 광진구D-28,https://www.jobkorea.co.kr/virtual/Recruit/GI_Read/46706259?Oem_Code=C1&logpath=1&stext=데이터분석&listno=5
5,JobKorea,한패스㈜,[한패스(주)/데이터분석팀] Google Analytics데이터분석가,경력학력무관정규직서울 성동구D-4,https://www.jobkorea.co.kr/virtual/Recruit/GI_Read/46575616?Oem_Code=C1&logpath=1&stext=데이터분석&listno=6
6,JobKorea,휴먼교육센터,[국비무료/숙식무료]AI/빅데이터분석/풀스택/KDT심화(무료숙식제공),신입·경력학력무관연수생/교육생서울 영등포구 외D-3,https://www.jobkorea.co.kr/virtual/Recruit/GI_Read/46589027?Oem_Code=C1&logpath=1&stext=데이터분석&listno=7
7,JobKorea,(주)상상에프앤비,배달전문 프랜차이즈 기업 상상에프앤비 배달앱데이터분석전문가 채용,경력학력무관정규직경기 남양주시D-12,https://www.jobkorea.co.kr/virtual/Recruit/GI_Read/46617537?Oem_Code=C1&logpath=1&stext=데이터분석&listno=8
8,JobKorea,㈜케이씨지소프트,모빌리티 플랫폼을 혁신할 기술영업 전문가와데이터분석전문가,경력3년↑초대졸↑정규직서울 성동구상시채용,https://www.jobkorea.co.kr/virtual/Recruit/GI_Read/46438655?Oem_Code=C1&logpath=1&stext=데이터분석&listno=9
9,JobKorea,㈜메이크인,[자체직전환/신입가능/여의도]나이스평가정보데이터분석채용,경력무관초대졸↑계약직 외서울 영등포구 외D-3,https://www.jobkorea.co.kr/virtual/Recruit/GI_Read/46653728?Oem_Code=C1&logpath=1&stext=데이터분석&listno=10
